Index,Amplitude (0-4096)
0,b'\xc0\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\x04\x04\x0c\x04\xc4 \x02$$$$$$$ets Jul 29 2019 12:21:46\r\n'
1,b'\r\n'
2,"b'rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)\r\n'"
3,"b'configsip: 0, SPIWP:0xee\r\n'"
4,"b'clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00\r\n'"
5,"b'mode:DIO, clock div:1\r\n'"
6,"b'load:0x3fff0030,len:4980\r\n'"
7,"b'load:0x40078000,len:16612\r\n'"
8,"b'load:0x40080400,len:3480\r\n'"
9,b'entry 0x400805b4\r\n'
10,b'0\r\n'
11,b'0\r\n'
12,b'0\r\n'
13,b'0\r\n'
14,b'41\r\n'
15,b'33\r\n'
16,b'16\r\n'
17,b'12\r\n'
18,b'0\r\n'
19,b'0\r\n'
20,b'7\r\n'
21,b'4\r\n'
22,b'24\r\n'
23,b'24\r\n'
24,b'32\r\n'
25,b'31\r\n'
26,b'25\r\n'
27,b'64\r\n'
28,b'67\r\n'
29,b'84\r\n'
30,b'99\r\n'
31,b'134\r\n'
32,b'178\r\n'
33,b'245\r\n'
34,b'272\r\n'
35,b'312\r\n'
36,b'305\r\n'
37,b'276\r\n'
38,b'222\r\n'
39,b'207\r\n'
40,b'144\r\n'
41,b'86\r\n'
42,b'47\r\n'
43,b'19\r\n'
44,b'36\r\n'
45,b'21\r\n'
46,b'49\r\n'
47,b'15\r\n'
48,b'30\r\n'
49,b'0\r\n'
50,b'0\r\n'
51,b'0\r\n'
52,b'0\r\n'
53,b'0\r\n'
54,b'0\r\n'
55,b'0\r\n'
56,b'0\r\n'
57,b'0\r\n'
58,b'0\r\n'
59,b'0\r\n'
60,b'0\r\n'
61,b'0\r\n'
62,b'0\r\n'
63,b'0\r\n'
64,b'0\r\n'
65,b'0\r\n'
66,b'0\r\n'
67,b'0\r\n'
68,b'0\r\n'
69,b'0\r\n'
70,b'0\r\n'
71,b'0\r\n'
72,b'0\r\n'
73,b'0\r\n'
74,b'0\r\n'
75,b'0\r\n'
76,b'0\r\n'
77,b'0\r\n'
78,b'0\r\n'
79,b'0\r\n'
80,b'0\r\n'
81,b'0\r\n'
82,b'0\r\n'
83,b'0\r\n'
84,b'0\r\n'
85,b'0\r\n'
86,b'0\r\n'
87,b'0\r\n'
88,b'0\r\n'
89,b'0\r\n'
90,b'0\r\n'
91,b'0\r\n'
92,b'0\r\n'
93,b'0\r\n'
94,b'0\r\n'
95,b'0\r\n'
96,b'0\r\n'
97,b'0\r\n'
98,b'0\r\n'
99,b'0\r\n'
100,b'0\r\n'
101,b'0\r\n'
102,b'47\r\n'
103,b'76\r\n'
104,b'144\r\n'
105,b'273\r\n'
106,b'256\r\n'
107,b'181\r\n'
108,b'144\r\n'
109,b'139\r\n'
110,b'173\r\n'
111,b'124\r\n'
112,b'92\r\n'
113,b'14\r\n'
114,b'0\r\n'
115,b'0\r\n'
116,b'0\r\n'
117,b'0\r\n'
118,b'0\r\n'
119,b'0\r\n'
120,b'0\r\n'
121,b'0\r\n'
122,b'0\r\n'
123,b'0\r\n'
124,b'0\r\n'
125,b'0\r\n'
126,b'0\r\n'
127,b'0\r\n'
128,b'0\r\n'
129,b'0\r\n'
130,b'0\r\n'
131,b'0\r\n'
132,b'0\r\n'
133,b'0\r\n'
134,b'0\r\n'
135,b'0\r\n'
136,b'0\r\n'
137,b'0\r\n'
138,b'0\r\n'
139,b'0\r\n'
140,b'246\r\n'
141,b'747\r\n'
142,b'1145\r\n'
143,b'1531\r\n'
144,b'1832\r\n'
145,b'2159\r\n'
146,b'2357\r\n'
147,b'2537\r\n'
148,b'2678\r\n'
149,b'2797\r\n'
150,b'2926\r\n'
151,b'3046\r\n'
152,b'3179\r\n'
153,b'3344\r\n'
154,b'3540\r\n'
155,b'3795\r\n'
156,b'4095\r\n'
157,b'4095\r\n'
158,b'4095\r\n'
159,b'4095\r\n'
160,b'4009\r\n'
161,b'3927\r\n'
162,b'3893\r\n'
163,b'3932\r\n'
164,b'4095\r\n'
165,b'4095\r\n'
166,b'4095\r\n'
167,b'4095\r\n'
168,b'4095\r\n'
169,b'4095\r\n'
170,b'4095\r\n'
171,b'4095\r\n'
172,b'4095\r\n'
173,b'4095\r\n'
174,b'4095\r\n'
175,b'4095\r\n'
176,b'4095\r\n'
177,b'4095\r\n'
178,b'4095\r\n'
179,b'2754\r\n'
180,b'0\r\n'
181,b'0\r\n'
182,b'0\r\n'
183,b'0\r\n'
184,b'0\r\n'
185,b'0\r\n'
186,b'0\r\n'
187,b'0\r\n'
188,b'0\r\n'
189,b'0\r\n'
190,b'0\r\n'
191,b'0\r\n'
192,b'0\r\n'
193,b'0\r\n'
194,b'0\r\n'
195,b'0\r\n'
196,b'0\r\n'
197,b'0\r\n'
198,b'0\r\n'
199,b'0\r\n'
200,b'0\r\n'
201,b'0\r\n'
202,b'0\r\n'
203,b'0\r\n'
204,b'0\r\n'
205,b'0\r\n'
206,b'0\r\n'
207,b'0\r\n'
208,b'0\r\n'
209,b'0\r\n'
210,b'134\r\n'
211,b'385\r\n'
212,b'622\r\n'
213,b'818\r\n'
214,b'999\r\n'
215,b'1179\r\n'
216,b'1376\r\n'
217,b'1665\r\n'
218,b'2103\r\n'
219,b'2607\r\n'
220,b'3136\r\n'
221,b'3583\r\n'
222,b'3790\r\n'
223,b'3643\r\n'
224,b'3312\r\n'
