timestamp,red,ir
5014556.0,80785.66256144435,107419.14870466723
5035556.0,80790.7240476112,107451.95565879461
5055556.0,80797.17216850026,107502.63888169214
5075556.0,80811.84258351539,107561.06948033583
5095556.0,80825.20826502124,107594.91845742211
5115556.0,80820.35219244927,107538.78459719224
5135556.0,80781.9401790505,107328.8231442471
5155556.0,80717.32982315501,107063.45771703028
5175556.0,80663.25691440029,106860.01688989908
5195556.0,80633.40496626418,106733.0494469688
5215556.0,80612.37477135033,106696.59736916763
5236556.0,80610.82532436303,106706.41362463836
5256556.0,80621.99747833615,106725.47742262023
5276556.0,80622.1827697504,106750.19032753665
5296556.0,80632.95597774917,106774.4478882761
5316556.0,80652.65019520701,106828.58057017425
5336556.0,80666.82669378698,106879.42819186937
5356556.0,80681.22240728565,106893.9419500037
5376556.0,80686.03474345697,106890.31397378806
5396556.0,80684.39661561602,106857.99519565461
5416556.0,80674.23180053062,106841.71619758006
5437556.0,80669.56545204678,106884.95413788069
5457556.0,80689.33973303066,106940.83888175663
5477556.0,80701.29052137997,106980.35042743203
5497556.0,80711.33062052284,107015.17599907401
5517556.0,80732.14096665829,107058.76993453258
5537556.0,80741.8593321649,107102.98373599479
5557556.0,80751.54242118148,107126.10463641833
5577556.0,80761.48800201356,107141.8726333841
5597556.0,80768.18295212727,107171.31000834133
5617556.0,80773.53565800487,107209.84338762259
5638556.0,80772.80030243401,107246.54585217156
5658556.0,80779.8322765255,107279.89545442798
5678556.0,80790.58981598368,107307.22438281823
5698556.0,80786.81063307356,107269.9083403341
5718556.0,80758.38822472667,107111.73851691275
5738556.0,80711.63068108424,106895.6239951713
5758556.0,80665.42672816844,106721.48315537118
5778556.0,80628.12935991668,106623.12149561655
5798556.0,80614.7755617607,106592.0212947893
5818556.0,80625.01105776215,106609.33763399528
5839556.0,80631.60329822346,106653.23920154048
5859556.0,80638.85459130388,106706.80412215405
5879556.0,80658.49576296282,106775.68164285438
5899556.0,80678.00144357009,106859.94524054353
5919556.0,80698.08200091324,106912.49633364081
5939556.0,80711.32414069872,106926.10346216866
5959556.0,80712.67747519113,106940.08486289548
5979556.0,80713.99571185715,106942.21383157122
5999556.0,80710.67221207677,106951.9720820756
6019556.0,80715.60728708474,106981.90007297584
6040556.0,80727.12054669493,107005.5868597754
6060556.0,80731.8589439432,107047.9468212267
6080556.0,80743.07045469517,107086.16800735903
6100556.0,80751.95590795296,107115.45655190456
6120556.0,80768.86915122494,107166.66407300097
6140556.0,80794.74157703936,107214.36743179633
6160556.0,80802.67115284046,107261.06833880863
6180556.0,80808.03647548775,107295.75372194397
6200556.0,80815.73376402215,107317.3253905826
6220556.0,80823.70733012489,107354.45778786736
6241556.0,80832.37843162678,107397.89363518528
6261556.0,80833.60866765442,107446.34907110748
6281556.0,80844.6990446639,107487.18198217067
6301556.0,80858.28685030866,107523.12400534551
6321556.0,80871.42194108707,107573.29884603302
6341556.0,80891.29592015056,107609.06904701254
6361556.0,80882.44378910144,107567.67019016645
6381556.0,80843.3475183243,107378.33511967832
6401556.0,80783.38610589878,107106.68202707627
6421556.0,80713.59197968087,106897.13624113702
6442556.0,80674.40704693271,106775.42274846279
6462556.0,80660.96445967023,106745.16151023324
6482556.0,80666.4230217164,106776.68056301452
6502556.0,80681.70455148548,106804.38405434352
6522556.0,80691.12743115959,106837.245622826
6542556.0,80706.54446131497,106887.51711359675
6562556.0,80721.28512708665,106957.19810712032
6582556.0,80738.52619101119,107011.51236174106
6602556.0,80749.79044749882,107030.58117939373
6622556.0,80746.66743141034,107047.63146646024
6643556.0,80744.86072092803,107051.38773017444
6663556.0,80737.97589711405,107044.37890139068
6683556.0,80737.04795393992,107039.45113516448
6703556.0,80746.50227651362,107060.79697003416
6723556.0,80759.6524043289,107102.38809528967
6743556.0,80778.16294303803,107123.32560682532
6763556.0,80788.8973959506,107154.16172008606
6783556.0,80798.46764465497,107185.70964988033
6803556.0,80805.0576664148,107196.69029565643
6823556.0,80803.2073267113,107210.10618191489
6844556.0,80806.04465575157,107237.66552881656
6864556.0,80811.87872541224,107279.93293038294
6884556.0,80820.70187842502,107316.35374179069
6904556.0,80828.67172292364,107365.00598097232
6924556.0,80840.51499636704,107419.13527635654
6944556.0,80855.77694682297,107456.12360799377
6964556.0,80862.4279603606,107507.77279583686
6984556.0,80872.99361276327,107554.8011317722
7004556.0,80878.71112409134,107589.41434275813
7024556.0,80879.76592160438,107628.16080870005
7045556.0,80887.74564383444,107639.84431727974
7065556.0,80886.24294369617,107646.53031162231
7085556.0,80888.10089852102,107675.18679893081
7105556.0,80895.80613731293,107707.163617224
7125556.0,80905.40101992011,107749.70117133885
7145556.0,80920.04646875952,107746.18429593623
7165556.0,80895.83955019135,107596.01219162362
7185556.0,80833.12559383009,107332.09622809468
7205556.0,80767.0418581255,107078.52722346477
7225556.0,80710.79845372772,106911.10386785331
7246556.0,80687.4168026706,106845.60235612938
7266556.0,80683.79720427515,106859.18143719275
7286556.0,80689.64970342745,106895.3909942208
7306556.0,80706.40972575017,106915.55270627716
7326556.0,80715.22911696212,106938.37721396203
7346556.0,80730.96086149209,106975.06424235561
7366556.0,80742.61637768314,107006.47737920769
7386556.0,80741.85514112667,107031.51272158658
7406556.0,80752.29613963733,107039.14838468005
7426556.0,80744.02440634521,107018.67526306395
7447556.0,80728.32229946097,106986.89882175729
7467556.0,80729.86442748934,106979.29995759563
7487556.0,80727.59841931028,107002.46538583399
7507556.0,80735.27180560646,107018.69750084792
7527556.0,80747.4435500663,107043.88310511863
